都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,USER_通し番号,USER_施設名称,USER_棟名,USER_建物用途,区,USER_住所,USER_Field9,USER_静岡県浜松市,経度,緯度,階数,3階×ｍ,収容人数(0.7*0.7)指数o.8,USER_避難場所,USER_面積___,USER_公共民間,USER_建物の構造,USER_建築年,USER_x,USER_y
221309,407,静岡県,浜松市,218,西区役所,,区役所,中央区,雄踏一丁目31-1,中央区雄踏一丁目31-1,静岡県浜松市中央区雄踏一丁目31-1,137.6453338,34.6927126,3階,6ｍ,"1,949人",屋上、廊下、EVホール、休憩室、会議室等,1370.295,公共,RC,2007,15322608.47,4122200.029
221309,405,静岡県,浜松市,216,雄踏文化センター,大ホール・カルチャー棟,文化施設,中央区,雄踏町宇布見5427,中央区雄踏町宇布見5427,静岡県浜松市中央区雄踏町宇布見5427,137.634602,34.701594,3階,6ｍ,922人,8部屋（小･中･大･特別会議室、301･302号室、庶務室1･2）、通路,648.6,公共,SRC,1989,15321413.81,4123402.542
221309,406,静岡県,浜松市,217,市営住宅領家団地,,集合住宅,中央区,雄踏町宇布見4874-5,中央区雄踏町宇布見4874-5,静岡県浜松市中央区雄踏町宇布見4874-5,137.6347393,34.69525268,3階,6ｍ,32人,階段踊場,22.5,公共,RC,,15321429.09,4122543.934
221309,408,静岡県,浜松市,219,静岡県水産・海洋技術研究所（ウォット）,,研究施設,中央区,舞阪町弁天島5005-1,中央区舞阪町弁天島5005-1,静岡県浜松市中央区舞阪町弁天島5005-1,137.6058143,34.69750646,2階,3ｍ,961人,2階部分、オープンデッキ、展望デッキ,676,公共,RC,2000,15318209.18,4122849.086
221309,410,静岡県,浜松市,221,新津中学校,北棟,学校,中央区,新橋町748,中央区新橋町748,静岡県浜松市中央区新橋町748,137.70092,34.683124,3階,6ｍ,"1,084人",3階普通教室・特別教室・廊下・屋上,762,公共,RC,,15328796.3,4120901.908
221309,411,静岡県,浜松市,222,新津中学校,南棟,学校,中央区,新橋町748,中央区新橋町748,静岡県浜松市中央区新橋町748,137.70092,34.683124,3階,6ｍ,"1,593人",3階普通教室・特別教室・廊下・屋上,1120,公共,RC,,15328796.3,4120901.908
221309,409,静岡県,浜松市,220,浜松湖南高等学校,普通教室棟,学校,中央区,馬郡町3791-1,中央区馬郡町3791-1,静岡県浜松市中央区馬郡町3791-1,137.6262367,34.69213876,3階,6ｍ,"1,505人",屋上,1058,公共,RC,1983,15320482.59,4122122.337
221309,412,静岡県,浜松市,224,白脇小学校,北棟,学校,中央区,寺脇町431,中央区寺脇町431,静岡県浜松市中央区寺脇町431,137.745514,34.682095,3階,6ｍ,"2,010人",3階普通教室・特別教室・廊下・屋上,1413,公共,RC,,15333760.48,4120762.609
221309,414,静岡県,浜松市,226,中部浄化センター,汚泥処理棟,下水処理施設,中央区,瓜内町1825,中央区瓜内町1825,静岡県浜松市中央区瓜内町1825,137.7298052,34.67987978,3階,6ｍ,569人,機械室、屋上,400,公共,RC,2000,15332011.78,4120462.735
221309,415,静岡県,浜松市,227,河輪小学校,,学校,中央区,東町333,中央区東町333,静岡県浜松市中央区東町333,137.782196,34.675488,4階,9ｍ,"2,395人",3～4階普通教室・特別教室・廊下・屋上,1684,公共,RC,,15337843.9,4119868.241
221309,413,静岡県,浜松市,225,白脇小学校,南棟,学校,中央区,寺脇町431,中央区寺脇町431,静岡県浜松市中央区寺脇町431,137.745514,34.682095,3階,6ｍ,"1,886人",3階普通教室・特別教室・廊下・屋上,1326,公共,RC,,15333760.48,4120762.609
221309,416,静岡県,浜松市,228,東陽中学校,北棟,学校,中央区,西町700,中央区西町700,静岡県浜松市中央区西町700,137.776676,34.680392,4階,9ｍ,"1,596人",3～4階普通教室・特別教室・廊下・屋上,1122,公共,RC,1985,15337229.42,4120532.073
221309,417,静岡県,浜松市,229,東陽中学校,南棟,学校,中央区,西町700,中央区西町700,静岡県浜松市中央区西町700,137.776676,34.680392,3階,6ｍ,"2,167人",3階特別教室・廊下・屋上,1524,公共,RC,1985,15337229.42,4120532.073
221309,418,静岡県,浜松市,238,県営芳川団地,1号棟,集合住宅,中央区,参野町391-1,中央区参野町391-1,静岡県浜松市中央区参野町391-1,137.7624929,34.69126763,4階,9ｍ,40人,3～4階階段,27.9,公共,RC,,15335650.56,4122004.397
221309,419,静岡県,浜松市,239,県営芳川団地,2号棟,集合住宅,中央区,参野町391-1,中央区参野町391-1,静岡県浜松市中央区参野町391-1,137.7624366,34.69094123,4階,9ｍ,26人,3～4階階段,18.6,公共,RC,,15335644.29,4121960.206
221309,420,静岡県,浜松市,240,県営芳川団地,3号棟,集合住宅,中央区,参野町391-1,中央区参野町391-1,静岡県浜松市中央区参野町391-1,137.7625117,34.69066556,4階,9ｍ,40人,3～4階階段,27.9,公共,RC,,15335652.65,4121922.884
221309,421,静岡県,浜松市,241,株式会社ヤマテ工業,,企業,中央区,三新町515-1,中央区三新町515-1,静岡県浜松市中央区三新町515-1,137.7848035,34.65786901,3階,6ｍ,"2,763人",3階フロア,1943,民間,SRC,1998,15338134.16,4117483.564
221309,422,静岡県,浜松市,247,すずかけセントラル病院,,病院,中央区,田尻町120-1,中央区田尻町120-1,静岡県浜松市中央区田尻町120-1,137.7259046,34.6808024,6階,15ｍ,"3,720人",3～6階通路,2615.44,民間,SRC,2012,15331577.57,4120587.628
221309,424,静岡県,浜松市,249,エアリス,,集合住宅,中央区,高塚町4835-1,中央区高塚町4835-1,静岡県浜松市中央区高塚町4835-1,137.6758575,34.68761321,6階,15ｍ,254人,3～6階通路,178.75,民間,RC,2010,15326006.36,4121509.646
221309,423,静岡県,浜松市,248,インテグラA,,集合住宅,中央区,小沢渡町1154-1,中央区小沢渡町1154-1,静岡県浜松市中央区小沢渡町1154-1,137.6803207,34.6844196,3階,6ｍ,107人,屋上,75,民間,RC,2013,15326503.2,4121077.299
